"species"	"decimallongitude"	"decimallatitude"	"homepolygon"
"Ceiba pubiflora"	-57.6145	-19.021806	"2"
"Ceiba pubiflora"	-57.687944	-19.013222	"2"
"Ceiba rubriflora"	-40.548417	-9.325472	"13"
"Ceiba speciosa"	-56.097115	-9.877921	"1"
"Ceiba glaziovii"	-39.188356	-8.101703	"13"
"Ceiba glaziovii"	-37.705389	-10.192542	"13"
"Ceiba glaziovii"	-38.566944	-9.435556	"13"
"Ceiba samauma"	-54.667747	-18.505947	"7"
"Ceiba speciosa"	-50.723333	-24.111389	"1"
"Ceiba erianthos"	-41.601667	-12.446667	"13"
"Ceiba speciosa"	-52.875678	-22.604356	"1"
"Ceiba glaziovii"	-38.566944	-9.435556	"13"
"Ceiba crispiflora"	-47.077171	-22.870251	"1"
"Ceiba ventricosa"	-40.316667	-9.333333	"13"
"Ceiba erianthos"	-42.189167	-22.850278	"1"
"Ceiba erianthos"	-39.704444	-12.727778	"13"
"Ceiba pubiflora"	-44.553056	-16.273056	"7"
"Ceiba pubiflora"	-44.553056	-16.273056	"7"
"Ceiba rubriflora"	-44.553056	-16.273056	"7"
"Ceiba speciosa"	-56.771944	-9.338611	"1"
"Ceiba pubiflora"	-41.483333	-12.816667	"7"
"Ceiba insignis"	-58.611139	-11.141472	"1"
"Ceiba pubiflora"	-57.002642	-19.667689	"9"
"Ceiba erianthos"	-42.189167	-22.850278	"1"
"Ceiba samauma"	-65.024166	-9.5675	"1"
"Ceiba samauma"	-65.024167	-9.5675	"1"
"Ceiba glaziovii"	-38.889556	-7.633222	"13"
"Ceiba samauma"	-65.02	-9.5675	"1"
"Ceiba erianthos"	-39.796389	-12.744167	"13"
"Ceiba glaziovii"	-39.2	-11.5	"13"
"Ceiba erianthos"	-39.783333	-12.733333	"13"
"Ceiba glaziovii"	-35.717778	-6.425278	"13"
"Ceiba glaziovii"	-38.889222	-7.632861	"13"
"Ceiba glaziovii"	-39.819639	-7.946917	"13"
"Ceiba glaziovii"	-36.068389	-7.902375	"13"
"Ceiba pentandra"	-54.9799	-2.8154	"1"
"Ceiba glaziovii"	-40.950278	-3.730278	"1"
"Ceiba glaziovii"	-38.165622	-7.851867	"13"
"Ceiba glaziovii"	-40.945556	-3.738528	"1"
"Ceiba glaziovii"	-37.278056	-9.917222	"13"
"Ceiba glaziovii"	-37.169722	-10.806389	"1"
"Ceiba erianthos"	-39.776389	-12.7275	"13"
"Ceiba pubiflora"	-44.0825	-18.644444	"7"
"Ceiba pubiflora"	-44.0825	-18.644444	"7"
"Ceiba glaziovii"	-40.569972	-10.883472	"13"
"Ceiba glaziovii"	-37.355278	-10.0975	"13"
"Ceiba erianthos"	-39.688611	-14.626944	"1"
"Ceiba insignis"	-39.489722	-14.803889	"1"
"Ceiba erianthos"	-42.205	-13.3025	"13"
"Ceiba rubriflora"	-43.547778	-14.502222	"2"
"Ceiba erianthos"	-41.074444	-14.638056	"13"
"Ceiba glaziovii"	-42.247222	-13.296111	"13"
"Ceiba erianthos"	-41.048611	-13.934722	"13"
"Ceiba erianthos"	-41.168333	-14.6375	"13"
"Ceiba glaziovii"	-41.168333	-14.6375	"13"
"Ceiba erianthos"	-40.294444	-14.181944	"13"
"Ceiba erianthos"	-41.0325	-13.948056	"13"
"Ceiba erianthos"	-41.048611	-13.934722	"13"
"Ceiba erianthos"	-41.168333	-14.6375	"13"
"Ceiba glaziovii"	-40.775278	-14.818056	"1"
"Ceiba erianthos"	-41.048611	-13.934722	"13"
"Ceiba pubiflora"	-41.774444	-11.327778	"13"
"Ceiba pubiflora"	-41.304167	-11.506111	"13"
"Ceiba pubiflora"	-41.054167	-11.3025	"13"
"Ceiba pubiflora"	-41.578056	-12.350556	"13"
"Ceiba pubiflora"	-41.047778	-11.287222	"13"
"Ceiba erianthos"	-41.045278	-13.939722	"13"
"Ceiba erianthos"	-41.045278	-13.939722	"13"
"Ceiba jasminodora"	-41.578889	-16.591389	"1"
"Ceiba erianthos"	-41.515833	-20.714167	"1"
"Ceiba erianthos"	-40.616944	-19.865833	"1"
"Ceiba pubiflora"	-41.168333	-14.6375	"13"
"Ceiba erianthos"	-41.032222	-13.948056	"13"
"Ceiba erianthos"	-41.168333	-14.6375	"13"
"Ceiba erianthos"	-41.048611	-13.934722	"13"
"Ceiba pubiflora"	-41.092222	-11.265	"13"
"Ceiba erianthos"	-41.590278	-12.533611	"13"
"Ceiba boliviana"	-43.463056	-15.709167	"2"
"Ceiba erianthos"	-41.590278	-12.516944	"13"
"Ceiba erianthos"	-42.076111	-13.600278	"2"
"Ceiba erianthos"	-42.174444	-12.818889	"13"
"Ceiba erianthos"	-40.339167	-12.523056	"13"
"Ceiba glaziovii"	-35.717778	-6.425278	"13"
"Ceiba pentandra"	-39.182778	-14.794722	"1"
"Ceiba glaziovii"	-39.188344	-8.101669	"13"
"Ceiba ventricosa"	-39.460833	-15.2025	"1"
"Ceiba erianthos"	-41.168333	-14.6375	"13"
"Ceiba speciosa"	-49.138333	-28.070278	"1"
"Ceiba erianthos"	-41.048611	-13.934722	"13"
"Ceiba glaziovii"	-38.921444	-7.653806	"13"
"Ceiba glaziovii"	-37.780417	-8.328778	"13"
"Ceiba pentandra"	-35.006111	-7.778889	"1"
"Ceiba pentandra"	-60.01	-3.090194	"1"
"Ceiba glaziovii"	-37.278056	-9.917222	"13"
"Ceiba pentandra"	-56.775556	-9.345556	"1"
"Ceiba pentandra"	-60.012222	-3.090278	"1"
"Ceiba pentandra"	-60.01	-3.090194	"1"
"Ceiba glaziovii"	-37.687428	-8.540228	"13"
"Ceiba speciosa"	-42.847222	-20.795555	"1"
"Ceiba samauma"	-67.614167	-9.995833	"1"
"Ceiba samauma"	-56.142806	-9.869722	"1"
"Ceiba erianthos"	-41.601667	-12.446667	"13"
"Ceiba speciosa"	-49.361389	-28.515833	"1"
"Ceiba speciosa"	-49.361389	-28.515833	"1"
"Ceiba speciosa"	-49.361389	-28.515833	"1"
"Ceiba samauma"	-67.61	-9.995833	"1"
"Ceiba speciosa"	-49.225278	-25.42	"1"
"Ceiba speciosa"	-49.225139	-25.420083	"1"
"Ceiba speciosa"	-48.5275	-27.7175	"1"
"Ceiba speciosa"	-44.6575	-13.230556	"2"
"Ceiba crispiflora"	-48.5275	-27.7175	"1"
"Ceiba speciosa"	-44.6575	-13.230556	"2"
"Ceiba glaziovii"	-37.409775	-10.0324	"13"
"Ceiba glaziovii"	-37.473056	-10.536667	"13"
"Ceiba speciosa"	-49.361389	-28.515833	"1"
"Ceiba glaziovii"	-37.275758	-9.919742	"13"
"Ceiba jasminodora"	-43.885556	-17.9275	"1"
"Ceiba jasminodora"	-43.885556	-17.9275	"1"
"Ceiba ventricosa"	-44	-15	"13"
"Ceiba jasminodora"	-44.198889	-17.690333	"7"
"Ceiba pubiflora"	-57.7875	-19.108611	"2"
"Ceiba lupuna"	-67.605	-10.089722	"1"
"Ceiba glaziovii"	-38.183333	-10.708333	"13"
"Ceiba glaziovii"	-37.003333	-9.970833	"13"
"Ceiba glaziovii"	-36.898222	-7.470556	"13"
"Ceiba glaziovii"	-38.183333	-10.708333	"13"
"Ceiba jasminodora"	-42.702778	-16.010111	"7"
"Ceiba pentandra"	-60.27	-4.93582	"1"
"Ceiba glaziovii"	-37.984083	-10.884	"13"
"Ceiba glaziovii"	-37.278056	-9.917222	"13"
"Ceiba glaziovii"	-37.111667	-7.825056	"13"
"Ceiba erianthos"	-39.130833	-12.615	"1"
"Ceiba pentandra"	-40.825833	-9.294597	"13"
"Ceiba glaziovii"	-38.888667	-7.629083	"13"
"Ceiba speciosa"	-52.743889	-26.9725	"1"
"Ceiba speciosa"	-53.418056	-26.591944	"1"
"Ceiba samauma"	-55.935778	-9.601778	"1"
"Ceiba speciosa"	-55.94	-9.6	"1"
"Ceiba pentandra"	-55.94	-9.61	"1"
"Ceiba speciosa"	-53.418056	-26.591944	"1"
"Ceiba speciosa"	-53.418056	-26.591944	"1"
"Ceiba speciosa"	-49.144167	-23.833889	"7"
"Ceiba speciosa"	-51.163611	-18.526111	"1"
"Ceiba glaziovii"	-39.281472	-8.207889	"13"
"Ceiba pubiflora"	-57.727222	-19.153611	"2"
"Ceiba speciosa"	-56.788611	-9.323333	"1"
"Ceiba glaziovii"	-41.732778	-12.488056	"13"
"Ceiba pubiflora"	-44.628889	-14.935833	"7"
"Ceiba erianthos"	-39.390278	-11.727778	"13"
"Ceiba glaziovii"	-39.18225	-8.098194	"13"
"Ceiba glaziovii"	-42.650833	-14.765278	"13"
"Ceiba glaziovii"	-42.650833	-14.765278	"13"
"Ceiba pentandra"	-57.080944	-9.055472	"1"
"Ceiba glaziovii"	-36.898222	-7.470556	"13"
"Ceiba samauma"	-57.727222	-19.153611	"2"
"Ceiba speciosa"	-53.420556	-24.937222	"1"
"Ceiba pubiflora"	-54.595278	-20.432778	"7"
"Ceiba speciosa"	-54.620278	-20.485278	"7"
"Ceiba speciosa"	-54.613333	-20.493611	"7"
"Ceiba glaziovii"	-36.633142	-9.406106	"13"
"Ceiba speciosa"	-44.726944	-22.640833	"7"
"Ceiba speciosa"	-54.538639	-21.969361	"7"
"Ceiba glaziovii"	-35.832806	-9.543972	"1"
"Ceiba speciosa"	-44.726944	-22.640833	"7"
"Ceiba speciosa"	-54.620278	-20.509722	"7"
"Ceiba erianthos"	-47.875303	-22.968303	"1"
"Ceiba jasminodora"	-42.9	-16.593056	"7"
"Ceiba glaziovii"	-40.323514	-10.712211	"13"
"Ceiba glaziovii"	-40.385	-10.821944	"13"
"Ceiba jasminodora"	-43.641028	-17.787889	"7"
"Ceiba jasminodora"	-43.832222	-17.914167	"1"
"Ceiba jasminodora"	-41.875556	-16.370556	"1"
"Ceiba erianthos"	-40.701667	-20.328889	"1"
"Ceiba erianthos"	-42.533333	-19.503333	"1"
"Ceiba erianthos"	-40.443889	-18.776944	"1"
"Ceiba speciosa"	-55.88	-9.47	"1"
"Ceiba glaziovii"	-37.684167	-9.805278	"13"
"Ceiba erianthos"	-40.5	-12.419444	"2"
"Ceiba speciosa"	-47.535186	-23.368519	"1"
"Ceiba rubriflora"	-43.958889	-13.789444	"2"
"Ceiba glaziovii"	-35.843944	-8.381944	"13"
"Ceiba glaziovii"	-41.305	-11.828889	"2"
"Ceiba speciosa"	-51.916667	-23.416667	"1"
"Ceiba speciosa"	-51.916667	-23.416667	"1"
"Ceiba speciosa"	-52.330889	-24.10425	"1"
"Ceiba pubiflora"	-42.245556	-13.297222	"13"
"Ceiba glaziovii"	-36.45475	-6.824917	"13"
"Ceiba speciosa"	-52.330833	-24.104167	"1"
"Ceiba rubriflora"	-44.32	-13.586111	"2"
"Ceiba pubiflora"	-44.32	-13.586111	"2"
"Ceiba pubiflora"	-44.2	-14.216667	"13"
"Ceiba pubiflora"	-40.405278	-11.014722	"13"
"Ceiba glaziovii"	-41.407778	-11.013611	"13"
"Ceiba speciosa"	-55.915556	-9.580556	"1"
"Ceiba pubiflora"	-43.61525	-19.306472	"7"
"Ceiba erianthos"	-40.442222	-20.107778	"1"
"Ceiba insignis"	-55.91	-9.580167	"1"
"Ceiba pubiflora"	-44.2	-14.216667	"13"
"Ceiba speciosa"	-55.5454	-9.3449	"1"
"Ceiba pubiflora"	-52.928611	-19.186389	"7"
"Ceiba speciosa"	-55.91	-9.58	"1"
"Ceiba glaziovii"	-39.183889	-12.161667	"1"
"Ceiba speciosa"	-43.915972	-19.891611	"1"
"Ceiba samauma"	-55.82	-9.44	"1"
"Ceiba pubiflora"	-38.4725	-10.068611	"13"
"Ceiba erianthos"	-40.515278	-19.354444	"1"
"Ceiba rubriflora"	-44.309722	-13.625833	"2"
"Ceiba pubiflora"	-38.4725	-10.068611	"13"
"Ceiba pubiflora"	-37.245833	-8.575833	"13"
"Ceiba pentandra"	-43.275556	-9.264444	"13"
"Ceiba erianthos"	-39.785278	-12.724444	"13"
"Ceiba glaziovii"	-40.416667	-11.183333	"2"
"Ceiba glaziovii"	-40.137222	-11.606667	"13"
"Ceiba pentandra"	-62.071836	-6.399692	"1"
"Ceiba erianthos"	-42.753333	-13.086111	"2"
"Ceiba glaziovii"	-40.046278	-11.596775	"13"
"Ceiba speciosa"	-44.666667	-14.381389	"7"
"Ceiba glaziovii"	-40.42	-11.18	"2"
"Ceiba erianthos"	-40.43	-20.095556	"1"
"Ceiba speciosa"	-44.548611	-14.274444	"2"
"Ceiba glaziovii"	-36.890944	-7.475333	"13"
"Ceiba pubiflora"	-42.297222	-12.648611	"13"
"Ceiba glaziovii"	-36.061111	-7.076944	"13"
"Ceiba glaziovii"	-42.509167	-12.718611	"13"
"Ceiba samauma"	-55.966667	-16.266667	"9"
"Ceiba pentandra"	-35.735278	-9.666111	"14"
"Ceiba samauma"	-48.304444	-10.418889	"1"
"Ceiba speciosa"	-49.2	-16.216667	"7"
"Ceiba glaziovii"	-37.903611	-9.270278	"13"
"Ceiba erianthos"	-40.431667	-20.093889	"1"
"Ceiba erianthos"	-40.431667	-20.093889	"1"
"Ceiba boliviana"	-57.597222	-19.143056	"2"
"Ceiba erianthos"	-40.437778	-20.097222	"1"
"Ceiba glaziovii"	-40.187722	-10.4395	"13"
"Ceiba glaziovii"	-37.259722	-8.505	"13"
"Ceiba erianthos"	-40.431667	-20.093889	"1"
"Ceiba erianthos"	-40.614167	-19.702222	"1"
"Ceiba glaziovii"	-37.259722	-8.505	"13"
"Ceiba erianthos"	-40.431667	-20.093889	"1"
"Ceiba samauma"	-55.918889	-9.584167	"1"
"Ceiba samauma"	-55	-9	"1"
"Ceiba samauma"	-55.92	-9.58	"1"
"Ceiba samauma"	-55.4	-14.316667	"7"
"Ceiba speciosa"	-47.065751	-22.9056	"1"
"Ceiba speciosa"	-48.129167	-18.011944	"7"
"Ceiba rubriflora"	-43.958611	-13.789722	"2"
"Ceiba erianthos"	-42.007778	-22.024167	"1"
"Ceiba erianthos"	-41.5	-12.75	"7"
"Ceiba speciosa"	-42.852222	-22.268611	"1"
"Ceiba rubriflora"	-43.576111	-14.502778	"2"
"Ceiba rubriflora"	-43.5761	-14.5028	"2"
"Ceiba erianthos"	-47.068611	-22.820278	"1"
"Ceiba rubriflora"	-43.9589	-13.7894	"2"
"Ceiba rubriflora"	-43.958889	-13.789444	"2"
"Ceiba glaziovii"	-36.898222	-7.470556	"13"
"Ceiba rubriflora"	-43.9589	-13.7894	"2"
"Ceiba rubriflora"	-43.958889	-13.789444	"2"
"Ceiba speciosa"	-43.178611	-22.505	"1"
"Ceiba speciosa"	-50.966667	-22.541667	"1"
"Ceiba speciosa"	-50.966667	-2.541667	"1"
"Ceiba glaziovii"	-39	-10.5	"13"
"Ceiba pubiflora"	-51.907056	-19.566417	"7"
"Ceiba glaziovii"	-38.9939	-10.8783	"13"
"Ceiba glaziovii"	-38.993889	-10.878333	"13"
"Ceiba pubiflora"	-40.48	-10.48	"13"
"Ceiba speciosa"	-40.483333	-10.483333	"13"
"Ceiba glaziovii"	-40.120833	-6.600278	"13"
"Ceiba glaziovii"	-40.120833	-6.600278	"13"
"Ceiba glaziovii"	-40.120833	-6.600278	"13"
"Ceiba glaziovii"	-37.261389	-8.505278	"13"
"Ceiba glaziovii"	-37.261389	-8.505278	"13"
"Ceiba glaziovii"	-39.070556	-12.124444	"1"
"Ceiba glaziovii"	-39.070556	-12.124444	"1"
"Ceiba speciosa"	-47.042331	-22.801017	"1"
"Ceiba pentandra"	-64.1415	-11.952	"1"
"Ceiba pentandra"	-64.088056	-11.950139	"1"
"Ceiba glaziovii"	-41.304722	-11.505833	"13"
"Ceiba pubiflora"	-45.670444	-20.263722	"1"
"Ceiba pubiflora"	-41.083333	-11.266667	"13"
"Ceiba pubiflora"	-41.083333	-11.266667	"13"
"Ceiba pubiflora"	-41.409722	-11.032222	"13"
"Ceiba pubiflora"	-41.409722	-11.032222	"13"
"Ceiba pubiflora"	-40.963611	-11.265278	"13"
"Ceiba speciosa"	-38.966667	-12.25	"1"
"Ceiba erianthos"	-40.462778	-20.315833	"1"
"Ceiba rubriflora"	-44.17	-13.452222	"2"
"Ceiba pubiflora"	-41.216667	-11.583333	"13"
"Ceiba glaziovii"	-39.533333	-10.833333	"13"
"Ceiba glaziovii"	-38.533333	-10.833333	"13"
"Ceiba glaziovii"	-38.966667	-12.25	"1"
"Ceiba speciosa"	-50.975556	-23.540833	"1"
"Ceiba glaziovii"	-37.382778	-7.251667	"13"
"Ceiba samauma"	-47.086761	-22.863721	"1"
"Ceiba speciosa"	-47.086761	-22.863721	"1"
"Ceiba pubiflora"	-54.124833	-22.292583	"1"
"Ceiba pubiflora"	-54.124722	-22.2925	"1"
"Ceiba pubiflora"	-57.580528	-18.883139	"9"
"Ceiba pubiflora"	-41.918611	-11.2425	"13"
"Ceiba pubiflora"	-41.918611	-11.2425	"13"
"Ceiba speciosa"	-42.081389	-9.621944	"13"
"Ceiba pubiflora"	-41.918611	-11.2425	"13"
"Ceiba pubiflora"	-49.408889	-28.621944	"1"
"Ceiba pubiflora"	-42.656667	-14.115	"2"
"Ceiba jasminodora"	-47.086761	-22.863721	"1"
"Ceiba erianthos"	-41.807222	-13.624444	"13"
"Ceiba glaziovii"	-39.812778	-10.681944	"13"
"Ceiba pentandra"	-39.181666	-16.387222	"1"
"Ceiba pentandra"	-38.966667	-12.25	"1"
"Ceiba pubiflora"	-39.875833	-10.649722	"13"
"Ceiba glaziovii"	-39.812778	-10.681944	"13"
"Ceiba glaziovii"	-39.812778	-10.681944	"13"
"Ceiba pubiflora"	-39.875833	-10.649722	"13"
"Ceiba glaziovii"	-39.812778	-10.681944	"13"
"Ceiba glaziovii"	-36.879722	-7.480278	"13"
"Ceiba glaziovii"	-37.508889	-9.723333	"13"
"Ceiba glaziovii"	-36.888889	-7.476667	"13"
"Ceiba speciosa"	-42.847222	-20.795555	"1"
"Ceiba pubiflora"	-49.516667	-19.916667	"1"
"Ceiba speciosa"	-47.841525	-21.272837	"7"
"Ceiba pubiflora"	-44.615278	-14.2325	"2"
"Ceiba jasminodora"	-44.178361	-17.757889	"7"
"Ceiba jasminodora"	-44.194167	-17.692778	"7"
"Ceiba glaziovii"	-40.836111	-11.135278	"13"
"Ceiba speciosa"	-42.85	-20.8	"1"
"Ceiba samauma"	-49.9561903832499	-9.28186606396209	"1"
"Ceiba samauma"	-48.671111	-11.306111	"7"
"Ceiba erianthos"	-44.115278	-13.303611	"2"
"Ceiba speciosa"	-46.1447	-22.7553	"1"
"Ceiba speciosa"	-47.086761	-22.863721	"1"
"Ceiba erianthos"	-41.775556	-13.322222	"7"
"Ceiba pubiflora"	-41.432778	-11.012778	"13"
"Ceiba pubiflora"	-43.0925	-9.484167	"13"
"Ceiba erianthos"	-41.775556	-13.322222	"7"
"Ceiba erianthos"	-41.788889	-13.316111	"7"
"Ceiba pubiflora"	-41.775556	-13.322222	"7"
"Ceiba pubiflora"	-43.0925	-9.484167	"13"
"Ceiba pubiflora"	-46.752777	-13.656666	"7"
"Ceiba erianthos"	-41.55	-13.316667	"13"
"Ceiba speciosa"	-46.6633	-13.1533	"7"
"Ceiba erianthos"	-39.766667	-12.7	"13"
"Ceiba pubiflora"	-41.606667	-13.565833	"13"
"Ceiba jasminodora"	-43.533333	-18.116667	"7"
"Ceiba glaziovii"	-37.789167	-9.66	"13"
"Ceiba jasminodora"	-42.893611	-16.554167	"7"
"Ceiba erianthos"	-40.133333	-10.85	"13"
"Ceiba glaziovii"	-36.444333	-8.137778	"13"
"Ceiba samauma"	-48.3975	-10.114722	"1"
"Ceiba speciosa"	-43.966667	-19.866667	"1"
"Ceiba erianthos"	-40.681389	-19.805556	"1"
"Ceiba glaziovii"	-40.761389	-10.981667	"13"
"Ceiba erianthos"	-40.365833	-10.5075	"13"
"Ceiba speciosa"	-46.933333	-22.783333	"1"
"Ceiba glaziovii"	-35.375	-5.883333	"13"
"Ceiba speciosa"	-46.116667	-22.733333	"1"
"Ceiba speciosa"	-46.116667	-22.733333	"1"
"Ceiba ventricosa"	-46.764722	-13.592222	"7"
"Ceiba ventricosa"	-46.76472	-13.59222	"7"
"Ceiba speciosa"	-46.1447	-22.7553	"1"
