datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2013-04-01 09:16:04-03"	IPT	BCTW	19704	"Ceiba sp."	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	sp.			IPT					27		"Nunes, I.N"	2002	09	27				Brasil	Rondônia	"Costa Marques"	"Reserva Extrativista Estadual Rio Cautário - Sítio linha da altura do 64"	-64.161639	-11.916944															"flor rosada, fruto verde"	
"2014-04-04 18:27:45-03"	PNFM	IRAI	4229	Ceiba	S	Plantae	Magnoliophyta			Malvaceae	Ceiba									061		"Rauth, V.M."	2008	01	01				Brasil	Paraná	Pinhais	"Parque Newton Freire Maia, Jardim Boa Vista"	-49.12	-25.3825					900	900										IRAI00004229
"2014-04-04 18:27:46-03"	PNFM	IRAI	3394	"Ceiba speciosa"	S	Plantae	Magnoliophyta			Malvaceae	Ceiba	speciosa		"(A.St.-Hil.) Ravenna"	"Ristow, R."	2012	01	06		049		"Griep, I."	1999	01	20				Brasil	Paraná	Curitiba	Batel	0	0	-49.2731	-25.4278	25180		9999	9999									"Árvore, tronco com mamas, flor grande"	IRAI00003394
"2014-04-04 18:27:45-03"	PNFM	IRAI	1910	"Ceiba speciosa"	S	Plantae	Magnoliophyta			Malvaceae	Ceiba	speciosa		"(A.St.-Hil.) Ravenna"	"Ristow, R."	2010	01	01		500		"Ristow, R."	2010	02	18				Brasil	Paraná	Curitiba	"Rodovia BR 116, Tarumã"	-49.225139	-25.420083					9999	9999									"Árvore, 12 m, flor pentâmera rosa, cultivada"	IRAI00001910
"2009-11-26 13:47:57-02"	INPA	INPAW	8023	"Ceiba insignis"	S	Plantae				Bombacaceae	Ceiba	insignis		"(Kunth) P.E. Gibbs & Semir"						561		"Teixeira, L.O.A."	1982	05	18				Brasil	Rond&#244;nia	Ariquemes		0	0	-63.0408	-9.91333	67426													
"2009-11-26 13:47:57-02"	INPA	INPAW	8720	"Ceiba insignis"	S	Plantae				Bombacaceae	Ceiba	insignis		"(Kunth) P.E. Gibbs & Semir"						920		"Amaral, I.L. do"	1983	04	23				Brasil	Par&#225;	Itaituba		0	0	-55.9836	-4.27611	457045													
"2009-11-26 13:47:57-02"	INPA	INPAW	1909	"Ceiba pentandra"	S	Plantae				Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."								"Rodrigues, W.A."	1963	06	05				Brasil	Amazonas	Careiro		0	0	-60.3692	-3.76806	91135													
"2009-11-26 13:47:57-02"	INPA	INPAW	6733	"Ceiba pentandra"	S	Plantae				Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."						528		"Barbosa, M."	1975	12	19				Brasil	Par&#225;	Santar&#233;m		0	0	-54.7083	-2.44306	205258													
"2009-11-26 13:47:57-02"	INPA	INPAW	6734	"Ceiba pentandra"	S	Plantae				Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."						365		Nilson	1975	10	28				Brasil	Par&#225;	Santar&#233;m		0	0	-54.7083	-2.44306	205258													
"2009-11-26 13:47:57-02"	INPA	INPAW	7907	"Ceiba pentandra"	S	Plantae				Bombacaceae	Ceiba	pentandra		"(L.) Gaertn."						454		"Pierre, D."	1981	11	16				Brasil	Par&#225;	Tucuru&#237;		0	0	-49.6725	-3.76611	59618													
"2014-09-16 19:39:50-03"	FSL	HFSL	2388	"Ceiba insignis"	S	Plantae				Malvaceae	Ceiba	insignis		"(Kunth) Gibbs & Semir"	"Gibbs, P.E."	1995	01	01		9024		"Ferreira, C.A.C."	1987	05	04			"Southern America"	Brasil	Rondônia	Ji-Paraná	"Linha 56, a 45 km da cidade."	0	0	-61.9517	-10.8853	137905		0	0									"Árvore de 20m x 45cm de diâm., fuste com acúleos. Flores vistosas com pétalas róseo amareladas, estames brancos.; Mata de terra firme, solo argiloso. ; HA"	
"2014-09-23 10:58:36-03"	G	G	G00177509	"Ceiba glaziovii"	S	Plantae				Malvaceae	Ceiba	glaziovii		"(Kuntze) K. Schum."	?				"TYPUS of Xylon glaziovii Kuntze"			"Glaziou, A. F. M."						"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=180884&base=img&lang=en"	G00177509
