species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,datasetName,dataset
Ceiba rubriflora,-44.264444,-15.086944,BRA,NA,1848738948,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.252222,-15.096944,BRA,NA,1848739134,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba erianthos,-41.956111,-21.8425,BRA,NA,1585336102,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba rubriflora,-43.754722,-14.885,BRA,NA,1848738961,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848739211,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-43.856944,-15.2475,BRA,NA,1848738971,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-44.264444,-15.086667,BRA,NA,1848739137,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-44.264722,-15.086111,BRA,NA,1848739207,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-44.251667,-15.097778,BRA,NA,1848738953,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848739208,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
